,BFS,Dijkstra(1),Dijkstra(Haversine),Dijkstra(Euclidean),BellmanFord(Euclidean),G_BFS(Euclidean),"A_star(1, Euclidean)","A_star(1, Haversine)","A_star(Euclidean, Euclidean)","A_star(Euclidean, Haversine)","A_star(Haversine, Euclidean)","A_star(Haversine, Haversine)","bi_A_star(1, Euclidean)","bi_A_star(1, Haversine)","bi_A_star(Euclidean, Euclidean)","bi_A_star(Euclidean, Haversine)","bi_A_star(Haversine, Euclidean)","bi_A_star(Haversine, Haversine)"
109,48,44,51,51,93330,5,29,29,7,7,7,7,5,5,3,3,3,3
110,283,283,308,308,93330,30,278,278,152,152,152,152,68,68,34,34,34,34
111,237,234,152,152,93330,23,225,225,40,40,40,40,33,33,16,16,16,16
112,257,256,240,240,93330,21,250,250,113,113,113,113,56,56,22,22,22,22
113,24,23,21,21,93330,63,21,21,14,14,14,14,11,11,8,8,8,8
114,147,158,171,171,93330,19,131,131,39,39,39,39,45,45,19,19,19,19
115,147,143,222,222,93330,21,132,132,29,29,29,29,24,24,13,13,13,13
116,179,182,224,225,93330,17,172,172,54,54,54,54,38,38,19,19,19,19
117,302,302,315,315,93330,49,300,300,134,134,134,134,64,64,35,35,35,35
118,92,87,72,72,93330,14,80,80,17,17,17,17,26,26,10,10,10,10
119,261,262,301,301,93330,25,253,253,126,125,126,125,55,55,28,28,28,28
120,293,287,208,208,93330,29,283,283,88,88,88,88,37,37,30,30,30,30
121,246,235,245,245,93330,31,231,231,52,52,52,52,30,30,18,18,18,18
122,139,127,133,133,93330,19,124,124,36,36,36,36,30,30,14,14,14,14
123,55,58,96,96,93330,8,55,55,8,8,8,8,8,8,5,5,5,5
124,212,217,201,201,93330,85,208,208,58,58,58,58,18,18,19,19,19,19
125,37,29,30,30,93330,5,29,29,7,7,7,7,4,4,3,3,3,3
126,79,69,50,50,93330,7,62,62,13,13,13,13,16,16,7,7,7,7
127,279,280,292,292,93330,46,275,275,119,119,119,119,70,70,30,29,30,29
128,201,207,240,240,93330,118,201,201,26,26,26,26,13,13,13,13,13,13
129,30,30,28,28,93330,5,22,22,6,6,6,6,7,7,4,4,4,4
130,36,26,40,40,93330,12,26,26,13,13,13,13,10,10,7,7,7,7
131,92,105,80,80,93330,13,86,86,17,17,17,17,21,21,11,11,11,11
132,220,226,292,292,93330,16,211,211,51,48,50,48,39,39,16,16,16,16
133,291,284,244,244,93330,42,283,283,103,103,103,103,40,40,29,29,29,29
134,252,239,261,261,93330,26,236,236,37,37,37,37,37,37,20,20,20,20
135,190,190,178,178,93330,18,185,185,21,21,21,21,26,26,8,8,8,8
136,49,46,52,52,93330,9,32,32,7,7,7,7,9,9,4,4,4,4
137,299,301,296,296,93330,35,299,299,36,36,36,36,43,43,14,14,14,14
138,165,181,185,185,93330,22,162,162,31,31,31,31,22,22,14,14,14,14
139,36,27,39,39,93330,8,26,26,11,11,11,11,11,11,7,7,7,7
140,234,234,289,289,93330,25,225,225,127,127,127,127,58,58,28,28,28,28
141,114,109,154,154,93330,51,101,101,36,36,36,36,13,13,15,15,15,15
142,52,53,73,73,93330,7,52,52,7,7,7,7,8,8,4,4,4,4
143,297,299,292,292,93330,37,297,297,136,136,136,136,75,75,27,27,27,27
144,256,263,227,227,93330,20,253,253,103,103,103,103,55,55,18,18,18,18
145,3,2,3,3,93330,2,2,2,2,2,2,2,2,2,2,2,2,2
146,295,294,275,275,93330,100,292,292,153,153,153,153,57,57,32,32,32,32
147,196,183,158,158,93330,33,183,183,51,51,51,51,48,48,17,18,17,18
148,218,211,208,208,93330,22,199,199,67,67,67,67,40,40,20,20,20,20
149,225,230,193,193,93330,21,220,220,55,55,55,55,42,42,12,12,12,12
150,285,281,239,239,93330,30,278,278,62,62,62,62,54,54,24,24,24,24
151,69,63,115,115,93330,14,55,55,22,22,22,22,13,13,9,9,9,9
152,180,177,172,172,93330,15,174,174,23,23,23,23,55,55,10,10,10,10
153,264,259,260,260,93330,42,250,250,58,58,58,58,32,32,18,18,18,18
154,11,12,11,11,93330,6,11,11,6,6,6,6,6,6,4,4,4,4
155,104,89,59,59,93330,13,76,76,31,31,31,31,18,18,14,14,14,14
156,109,104,98,98,93330,15,98,98,28,28,28,28,19,19,10,10,10,10
157,195,191,159,159,93330,25,177,177,37,37,37,37,38,38,13,13,13,13
158,265,276,311,311,93330,56,264,264,138,137,138,137,33,33,25,25,25,25
159,240,238,210,210,93330,29,226,226,35,35,35,35,16,16,14,14,14,14
160,222,222,251,251,93330,94,222,222,73,73,73,73,20,20,26,26,26,26
161,110,109,91,91,93330,9,94,94,25,25,25,25,19,19,7,7,7,7
162,101,101,101,101,93330,9,101,101,11,11,11,11,15,15,7,7,7,7
163,63,68,95,95,93330,20,59,59,24,24,24,24,21,21,18,18,18,18
164,286,286,245,245,93330,22,284,284,48,48,48,48,43,43,18,18,18,18
165,20,25,21,21,93330,12,17,17,14,14,14,14,10,10,7,7,7,7
166,66,52,70,70,93330,9,42,42,12,12,12,12,6,6,6,6,6,6
167,59,56,79,79,93330,18,53,53,24,24,24,24,13,13,18,18,18,18
168,178,178,180,180,93330,31,159,159,74,74,74,74,27,27,32,32,32,32
169,292,293,285,285,93330,26,292,292,106,106,106,106,73,73,21,21,21,21
170,269,262,272,272,93330,113,261,261,121,121,121,121,53,53,34,34,34,34
171,208,207,245,245,93330,34,196,196,70,67,70,67,43,43,27,27,27,27
172,199,204,300,300,93330,44,194,194,59,59,59,59,23,23,36,36,36,36
173,106,94,88,88,93330,10,87,87,33,33,33,33,22,22,11,11,11,11
174,303,301,304,304,93330,42,300,300,74,74,74,74,68,68,23,22,23,22
175,25,27,24,24,93330,7,22,22,11,11,11,11,10,10,9,9,9,9
176,224,224,214,214,93330,54,206,206,49,49,49,49,20,20,16,16,16,16
177,286,288,280,280,93330,26,286,286,115,115,115,115,83,83,24,24,24,24
178,295,294,311,311,93330,19,294,294,91,91,91,91,25,25,22,22,22,22
179,239,247,228,228,93330,26,236,236,79,79,79,79,52,52,18,18,18,18
180,79,89,79,79,93330,16,77,77,15,15,15,15,17,17,7,7,7,7
181,32,29,31,31,93330,7,26,26,10,10,10,10,6,6,5,5,5,5
182,171,162,206,206,93330,14,158,158,53,53,53,53,24,24,10,15,10,15
183,260,249,276,276,93330,37,248,248,102,102,102,102,43,43,29,29,29,29
184,292,293,281,281,93330,29,292,292,116,118,116,118,80,80,21,21,21,21
185,264,255,219,219,93330,21,254,254,54,54,54,54,38,38,15,15,15,15
186,126,136,123,123,93330,15,122,122,21,21,21,21,14,14,9,9,9,9
187,160,161,194,194,93330,14,150,150,36,36,36,36,42,42,15,15,15,15
188,80,76,74,74,93330,14,65,65,21,21,21,21,14,14,8,8,8,8
189,101,101,89,89,93330,8,92,92,14,14,14,14,14,14,11,11,11,11
190,245,247,276,276,93330,28,238,238,89,89,89,89,46,46,23,23,23,23
191,247,252,253,253,93330,23,243,243,82,82,82,82,68,68,30,30,30,30
192,31,38,42,42,93330,8,31,31,8,8,8,8,11,11,5,5,5,5
193,214,217,224,224,93330,27,214,214,49,49,49,49,40,40,30,30,30,30
194,299,295,297,297,93330,43,295,295,75,75,75,75,68,68,24,24,24,24
195,213,217,256,256,93330,38,206,206,98,98,98,98,63,63,27,27,27,27
196,123,137,128,128,93330,19,121,121,38,38,38,38,28,28,16,16,16,16
197,300,299,311,311,93330,39,297,297,111,111,111,111,53,53,35,35,35,35
198,226,240,240,240,93330,25,226,226,52,52,52,52,23,23,15,15,15,15
199,240,244,272,272,93330,27,234,234,49,49,49,49,37,37,16,16,16,16
