start_station,end_station,greedyBFS,BellmanFord,Dijkstra,Astar_Great_Circle,Astar_Euclidean,Astar_Manhattan,A_star_Chebyshev,biAstar_Great_Circle,biAstar_Euclidean,biAstar_Manhattan,biAstar_Chebyshev
Newbury Park,Bow Church,0.0013383221626281738,35.68778872489929,0.0007259511947631836,0.005758047103881836,0.007117629051208496,0.006495094299316407,0.007735896110534668,0.0065082073211669925,0.008063411712646485,0.006382465362548828,0.013516950607299804
Farringdon,Piccadilly Circus,0.0013249087333679199,35.69161939620972,0.002569863796234131,0.009078145027160645,0.011321926116943359,0.012193536758422852,0.012336826324462891,0.017036938667297365,0.020991086959838867,0.021428537368774415,0.02387111186981201
"Heathrow Terminals 1, 2 & 3",Northolt,0.0029877948760986327,35.73168230056763,0.004856579303741455,0.01639096736907959,0.019759249687194825,0.017888522148132323,0.020697760581970214,0.012238240242004395,0.014810514450073243,0.016847562789916993,0.014795684814453125
West Silvertown,Brixton,0.001533057689666748,35.72586798667908,0.005914583206176758,0.02749462127685547,0.03359112739562988,0.019094014167785646,0.042160201072692874,0.01335296630859375,0.016553044319152832,0.01537778377532959,0.024008846282958983
Caledonian Road,Watford,0.006629748344421387,35.768927574157715,0.012213244438171386,0.07900598049163818,0.0943601369857788,0.0402482271194458,0.13462603092193604,0.027245283126831055,0.03310704231262207,0.03603358268737793,0.05257480144500733
Clapham South,Golders Green,0.0023639845848083497,35.71308922767639,0.007812609672546387,0.03157544136047363,0.038515448570251465,0.04041774272918701,0.060169315338134764,0.015553617477416992,0.019089317321777342,0.0184661865234375,0.03066115379333496
Shepherd's Bush (H),South Kenton,0.022719976902008058,35.72667336463928,0.008787078857421875,0.031195616722106932,0.03741049766540527,0.030205154418945314,0.046377372741699216,0.02628774642944336,0.031751179695129396,0.0319674015045166,0.03400123119354248
Beckton,Old Street,0.0019097089767456054,35.57817506790161,0.003152341842651367,0.022719097137451173,0.0276167631149292,0.02230844497680664,0.030834150314331055,0.019588375091552736,0.024180030822753905,0.025157928466796875,0.02734191417694092
Upney,Upton Park,0.0001721024513244629,35.72740364074707,0.0002081584930419922,0.0016499996185302735,0.002071690559387207,0.0020677804946899413,0.0020681381225585937,0.002401900291442871,0.0030308008193969727,0.003028130531311035,0.0030300140380859373
North Greenwich,North Wembley,0.031185779571533203,35.74107599258423,0.01079097032546997,0.0999934196472168,0.11883382797241211,0.08814077377319336,0.12990057468414307,0.03522787094116211,0.04328975677490234,0.05029580593109131,0.05255272388458252
Watford,Lambeth North,0.0023768258094787596,35.77035903930664,0.00512908935546875,0.023795771598815917,0.028845834732055663,0.019770097732543946,0.034150433540344236,0.03130829334259033,0.037981724739074706,0.021889805793762207,0.037863636016845705
Russell Square,Queensbury,0.006356854438781739,35.69992756843567,0.0099629545211792,0.046810150146484375,0.05573263168334961,0.02609517574310303,0.07333881855010986,0.019608139991760254,0.02409656047821045,0.021354866027832032,0.03080174922943115
Warwick Avenue,Upton Park,0.0038213682174682616,35.792574405670166,0.00988387107849121,0.03423233032226562,0.04143631458282471,0.025871706008911134,0.06326396465301513,0.04035618305206299,0.04933629035949707,0.03526248931884766,0.037518310546875
Baker Street,Sudbury Town,0.0018233680725097657,35.699069023132324,0.010699622631072998,0.06654422283172608,0.07908406257629394,0.06345679759979247,0.08389031887054443,0.04224460124969483,0.050939083099365234,0.035509681701660155,0.05528426170349121
Lancaster Gate,Gloucester Road,0.0006061816215515137,35.854515075683594,0.0010007476806640624,0.0031221866607666015,0.0038892030715942383,0.003883624076843262,0.004509687423706055,0.006115150451660156,0.007586455345153809,0.005966544151306152,0.01028296947479248
Clapham Common,Kilburn Park,0.0026952815055847168,35.725388526916504,0.00615234375,0.028335976600646972,0.0344524621963501,0.02270967960357666,0.04221451282501221,0.020793986320495606,0.025855469703674316,0.0178330659866333,0.033947992324829104
